,Company,TypeName,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,PPI,IPS,Touchscreen,HDD,SSD,Hybrid,Flash_Storage
0,Apple,Ultrabook,Intel Core i5,8,128GB SSD,Intel Iris,Mac OS,1.37,10726415,166.0,1,0,0,0,0,0
1,Apple,Ultrabook,Intel Core i5,8,128GB Flash Storage,Intel HD,Mac OS,1.34,7197503,166.0,0,0,0,0,0,128
2,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,No OS,1.86,4603835,141.0,0,0,0,0,0,0
4,Apple,Ultrabook,Intel Core i5,8,256GB SSD,Intel Iris,Mac OS,1.37,14440819,166.0,1,0,0,0,0,0
5,Acer,Notebook,AMD A-Series,4,500GB HDD,AMD Radeon,Windows 10,2.1,3202668,141.0,0,0,500,0,0,0
7,Apple,Ultrabook,Intel Core i5,8,256GB Flash Storage,Intel HD,Mac OS,1.34,9277286,166.0,0,0,0,0,0,256
8,Asus,Ultrabook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,1.3,11970008,157.0,0,0,0,0,0,0
9,Acer,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.6,6165172,157.0,1,0,0,0,0,0
10,HP,Notebook,Intel Core i5,4,500GB HDD,Intel HD,No OS,1.86,3153812,141.0,0,0,500,0,0,0
11,HP,Notebook,Intel Core i3,4,500GB HDD,Intel HD,No OS,1.86,2762248,141.0,0,0,500,0,0,0
13,Dell,Notebook,Intel Core i3,4,256GB SSD,AMD Radeon,Windows 10,2.2,3994566,141.0,0,0,0,0,0,0
15,Apple,Ultrabook,Intel Core i5,8,256GB SSD,Intel Iris,Mac OS,1.37,12158542,166.0,1,0,0,0,0,0
16,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.2,5965005,141.0,0,0,0,0,0,0
18,Lenovo,Notebook,Intel Core i3,8,1TB HDD,Nvidia GeForce,No OS,2.2,3995371,141.0,0,0,1,0,0,0
19,Dell,Ultrabook,Intel Core i5,8,128GB SSD,Intel UHD,Windows 10,1.22,7838537,166.0,1,1,0,0,0,0
20,Asus,Netbook,Other Intel Processor,2,32GB Flash Storage,Intel HD,Windows 10,0.98,1536461,190.0,0,0,0,0,0,32
21,Lenovo,Gaming,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,7998707,141.0,1,0,1,0,0,0
22,HP,Notebook,AMD E-Series,4,500GB HDD,AMD Radeon,No OS,1.86,2065735,141.0,0,0,500,0,0,0
23,Dell,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.62,6557452,166.0,0,1,0,0,0,0
24,HP,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.91,5276367,141.0,0,0,0,0,0,0
25,Dell,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.3,3351921,141.0,0,0,1,0,0,0
26,Apple,Ultrabook,Intel Core i5,8,128GB Flash Storage,Intel HD,Mac OS,1.35,8799374,166.0,0,0,0,0,0,128
27,Dell,Notebook,Intel Core i5,8,256GB SSD,AMD Radeon,Windows 10,2.2,6405336,141.0,0,0,0,0,0,0
28,Dell,Ultrabook,Intel Core i7,8,256GB SSD +  256GB SSD,Intel UHD,Windows 10,1.88,10392655,141.0,0,0,0,0,0,0
29,HP,Notebook,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows 10,2.5,7173970,127.0,0,0,1,0,0,0
31,Asus,Notebook,AMD E-Series,2,32GB Flash Storage,AMD Radeon,Windows 10,1.65,1593370,157.0,0,0,0,0,0,32
32,HP,Notebook,AMD A-Series,4,500GB HDD,AMD Radeon,Windows 10,2.71,3514953,127.0,0,0,500,0,0,0
33,Dell,Ultrabook,Intel Core i7,16,512GB SSD,Intel UHD,Windows 10,1.2,14964456,166.0,0,1,0,0,0,0
34,Apple,Ultrabook,Intel Core i5,8,256GB Flash Storage,Intel HD,Mac OS,1.35,7990653,166.0,0,0,0,0,0,256
35,Lenovo,Notebook,Other Intel Processor,4,64GB Flash Storage,Intel HD,Windows 10,1.44,1993704,157.0,0,0,0,0,0,64
36,Acer,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.1,2938434,141.0,0,0,1,0,0,0
37,Dell,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.8,7838537,127.0,1,0,1,0,0,0
38,HP,Notebook,Intel Core i5,4,1TB HDD,Intel HD,Windows 10,1.86,3912781,141.0,0,0,1,0,0,0
39,HP,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.1,7037870,141.0,0,0,0,0,0,0
40,Asus,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.0,3114620,141.0,0,0,1,0,0,0
41,Dell,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.65,12002042,141.0,1,0,1,0,0,0
42,Asus,Notebook,Intel Core i5,8,1TB HDD,Nvidia GeForce,Linux,2.3,4187396,141.0,0,0,1,0,0,0
43,Acer,Notebook,Intel Core i5,4,256GB SSD,Intel UHD,Windows 10,2.2,5460517,141.0,1,0,0,0,0,0
44,Dell,2 in 1 Convertible,Intel Core i5,12,1TB HDD,Nvidia GeForce,Windows 10,2.77,7998707,127.0,0,1,1,0,0,0
45,Apple,Ultrabook,Intel Core i5,8,256GB SSD,Intel Iris,Mac OS,1.37,11361455,166.0,1,0,0,0,0,0
46,Lenovo,Notebook,Intel Core i3,4,128GB SSD,Intel HD,No OS,2.2,2954451,141.0,0,0,0,0,0,0
47,Asus,Gaming,AMD Ryzen Series,8,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,3.2,10400708,127.0,0,0,1,0,0,0
48,Dell,Notebook,Intel Core i5,4,256GB SSD,AMD Radeon,Windows 10,2.3,5116287,141.0,0,0,0,0,0,0
49,Asus,Notebook,Other Intel Processor,4,1TB HDD,Nvidia GeForce,Windows 10,2.8,3731137,127.0,0,0,1,0,0,0
51,Acer,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.2,6733638,141.0,1,0,0,0,0,0
52,HP,Notebook,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,1.86,3190588,141.0,0,0,0,0,0,0
53,HP,Notebook,Intel Core i7,8,512GB SSD,Intel UHD,Windows 10,1.49,8831318,166.0,0,0,0,0,0,0
54,Acer,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.4,3074533,141.0,0,0,1,0,0,0
55,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.13,6147544,141.0,0,0,0,0,0,0
56,HP,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.91,3514953,141.0,0,0,0,0,0,0
57,Asus,Notebook,Intel Core i5,4,256GB SSD,Intel HD,Windows 10,2.0,4693405,141.0,0,0,0,0,0,0
58,MSI,Gaming,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce,Windows 10,2.43,19608379,127.0,0,0,2,0,0,0
59,Asus,Notebook,Intel Core i3,4,256GB SSD,Intel HD,Linux,2.0,3322750,141.0,0,0,0,0,0,0
60,Dell,Notebook,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.8,10400708,127.0,0,0,2,0,0,0
61,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.7,7037870,157.0,0,0,0,0,0,0
62,Lenovo,Notebook,Intel Core i3,8,256GB SSD,Intel HD,No OS,1.7,4796039,157.0,1,0,0,0,0,0
63,Asus,Notebook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.4,7534305,157.0,0,0,0,0,0,0
64,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.86,5524585,141.0,0,0,0,0,0,0
65,Asus,Ultrabook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,1.8,15877242,141.0,0,0,0,0,0,0
66,HP,Notebook,Intel Core i3,4,500GB HDD,AMD Radeon,Windows 10,1.86,3512448,141.0,0,0,500,0,0,0
67,HP,Notebook,Other Intel Processor,4,32GB SSD,Intel HD,Windows 10,1.44,1833535,157.0,0,0,0,0,0,0
68,Lenovo,Notebook,Intel Core i5,4,1TB HDD,Intel HD,Windows 10,1.9,4395705,141.0,0,0,1,0,0,0
69,Asus,Gaming,Intel Core i7,12,1TB HDD,Nvidia GeForce,Linux,3.0,7598373,127.0,0,0,1,0,0,0
71,Dell,Ultrabook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,1.4,7646334,166.0,1,0,0,0,0,0
72,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.2,6965839,141.0,0,0,0,0,0,0
73,MSI,Gaming,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.7,8767340,127.0,0,0,1,0,0,0
74,Acer,Notebook,Intel Core i3,8,1TB HDD,Intel HD,Windows 10,2.1,3114620,157.0,0,0,1,0,0,0
75,Asus,Gaming,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.2,7598373,141.0,0,0,1,0,0,0
76,Lenovo,Notebook,Intel Core i5,8,2TB HDD,Intel HD,No OS,2.2,4155451,141.0,0,0,2,0,0,0
77,Dell,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,Intel UHD,Windows 10,2.02,6845667,141.0,0,0,1,0,0,0
78,Acer,Notebook,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows 10,2.2,4243500,141.0,0,0,1,0,0,0
79,HP,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,7822521,127.0,0,0,1,0,0,0
80,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.88,8776556,141.0,1,0,0,0,0,0
82,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.63,6885754,157.0,0,0,0,0,0,0
83,Lenovo,Notebook,AMD A-Series,4,128GB SSD,AMD R4,Windows 10,2.2,3194704,141.0,0,0,0,0,0,0
84,Acer,Notebook,AMD A-Series,4,1TB HDD,AMD Radeon,Windows 10,2.1,3162671,141.0,0,0,1,0,0,0
85,Dell,Gaming,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.65,10801041,141.0,1,0,1,0,0,0
86,HP,Ultrabook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.83,5596706,141.0,1,0,0,0,0,0
87,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.96,4795949,141.0,0,0,0,0,0,0
88,Asus,Gaming,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.2,11601708,141.0,1,0,1,0,0,0
89,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.21,13203042,166.0,1,0,0,0,0,0
90,Asus,Gaming,AMD F-Series,8,1TB HDD,AMD Radeon,Windows 10,2.45,5596706,141.0,0,0,1,0,0,0
91,Acer,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.2,5516621,141.0,0,0,1,0,0,0
92,HP,Notebook,Intel Core i7,16,512GB SSD,Intel UHD,Windows 10,1.49,9584024,166.0,0,0,0,0,0,0
93,Dell,Gaming,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.65,9568007,141.0,0,0,0,0,0,0
94,Asus,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.25,8399040,157.0,0,0,0,0,0,0
95,Acer,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.5,6781689,166.0,1,1,0,0,0,0
96,Dell,Notebook,Intel Core i7,8,1TB HDD,AMD Radeon,Linux,2.2,4803197,141.0,0,0,1,0,0,0
97,Dell,Notebook,Intel Core i3,4,256GB SSD,AMD Radeon,Linux,2.2,3883253,141.0,0,0,0,0,0,0
98,Asus,Notebook,Intel Core i3,6,256GB SSD,Nvidia GeForce,Windows 10,2.0,4619852,141.0,0,0,0,0,0,0
99,HP,Gaming,Intel Core i7,12,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.62,10000374,141.0,1,0,1,0,0,0
100,HP,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,1.91,5756785,141.0,0,0,0,0,0,0
101,HP,Notebook,AMD E-Series,4,500GB HDD,AMD Radeon,Windows 10,2.1,2794371,141.0,0,0,500,0,0,0
102,Dell,Notebook,Intel Core i5,8,1TB HDD,AMD Radeon,Linux,2.2,5180355,141.0,0,0,1,0,0,0
103,HP,Ultrabook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.38,8959453,166.0,1,0,0,0,0,0
105,HP,Notebook,Intel Core i5,6,256GB SSD,Nvidia GeForce,Windows 10,1.58,5276367,157.0,1,0,0,0,0,0
106,Lenovo,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,1.85,3321945,141.0,0,0,1,0,0,0
107,Asus,Ultrabook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.3,9551990,157.0,1,0,0,0,0,0
108,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.2,10400708,141.0,0,0,1,0,0,0
109,Lenovo,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.58,11849836,157.0,1,0,0,0,0,0
110,Asus,Ultrabook,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,1.5,10104440,141.0,0,0,1,0,0,0
111,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel Iris,Windows 10,1.23,11041206,166.0,0,1,0,0,0,0
112,Lenovo,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.37,11201375,166.0,1,1,0,0,0,0
113,HP,Notebook,Intel Core i5,4,500GB HDD,Intel UHD,Windows 10,1.63,5780855,157.0,1,0,500,0,0,0
114,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.21,13042873,166.0,1,0,0,0,0,0
115,HP,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.26,11201285,166.0,1,1,0,0,0,0
116,HP,Notebook,Intel Core i7,8,512GB SSD,Intel UHD,Windows 10,1.63,8679202,157.0,0,0,0,0,0,0
117,Dell,Notebook,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.16,9050186,141.0,1,0,1,0,0,0
118,Asus,Notebook,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows 10,2.0,4515787,127.0,0,0,1,0,0,0
119,Asus,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.7,8951490,141.0,0,0,0,0,0,0
120,Acer,Notebook,Intel Core i3,6,1TB HDD,Intel HD,Windows 10,2.1,3835202,141.0,1,1,1,0,0,0
121,MSI,Gaming,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce,Windows 10,1.8,17946914,141.0,0,0,2,0,0,0
122,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,2.2,5036203,141.0,0,0,0,0,0,0
123,HP,Notebook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.5,10176471,127.0,0,0,0,0,0,0
124,Acer,Notebook,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,2.1,3610965,141.0,0,0,0,0,0,0
125,HP,Notebook,Other Intel Processor,4,500GB HDD,Intel HD,No OS,1.86,2073699,141.0,0,0,500,0,0,0
126,HP,Notebook,Intel Core i5,8,1TB HDD,Intel UHD,Windows 10,1.63,6501438,157.0,0,0,1,0,0,0
127,Asus,Notebook,AMD E-Series,4,64GB SSD,AMD Radeon,Windows 10,1.65,2225815,157.0,0,0,0,0,0,0
128,Dell,Notebook,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.8,11177305,127.0,0,0,2,0,0,0
129,HP,Notebook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,2.5,7430151,127.0,0,0,0,0,0,0
130,Dell,Notebook,Intel Core i5,8,1TB HDD,AMD Radeon,Windows 10,2.36,5116198,141.0,0,0,1,0,0,0
131,Dell,Notebook,Intel Core i3,4,1TB HDD,AMD Radeon,Windows 10,2.2,3595038,141.0,0,0,1,0,0,0
132,Acer,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.6,7077868,157.0,1,0,0,0,0,0
133,Acer,Notebook,Intel Core i3,4,256GB SSD,Nvidia GeForce,Windows 10,2.2,4579855,141.0,0,0,0,0,0,0
134,HP,Notebook,Intel Core i7,8,1TB HDD,Intel HD,Windows 10,2.05,4787985,141.0,0,0,1,0,0,0
135,HP,Notebook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.63,7910569,157.0,0,0,0,0,0,0
136,Lenovo,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,No OS,1.9,2020548,141.0,0,0,1,0,0,0
137,Asus,Gaming,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.0,7510235,127.0,0,0,1,0,0,0
138,Lenovo,Notebook,Intel Core i5,4,1TB HDD,Nvidia GeForce,No OS,2.2,3995371,141.0,0,0,1,0,0,0
139,HP,Notebook,Intel Core i5,4,256GB SSD,Intel HD,Windows 10,1.32,5596706,166.0,1,0,0,0,0,0
140,Acer,Notebook,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows 10,3.0,5244333,127.0,1,0,1,0,0,0
141,Lenovo,Notebook,Intel Core i5,8,256GB SSD,AMD Radeon,Windows 10,1.75,8935562,157.0,1,0,0,0,0,0
142,Lenovo,Gaming,Intel Core i7,8,256GB SSD,Nvidia GeForce,No OS,2.4,6957786,141.0,1,0,0,0,0,0
143,Toshiba,Notebook,Intel Core i5,4,500GB HDD,Intel HD,Windows 10,2.1,4820019,141.0,0,0,500,0,0,0
144,HP,Notebook,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,1.86,2954451,141.0,0,0,0,0,0,0
145,Asus,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.25,8799374,157.0,0,0,0,0,0,0
146,HP,Ultrabook,Other Intel Processor,8,512GB SSD,Intel HD,Windows 10,0.97,16125459,176.0,1,1,0,0,0,0
147,Asus,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,Windows 10,2.0,2754284,141.0,0,0,1,0,0,0
148,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.9,16245541,127.0,0,0,1,0,0,0
149,Acer,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.1,3579021,141.0,0,0,1,0,0,0
150,Dell,Gaming,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.56,10002432,141.0,0,0,0,0,0,0
151,Dell,Gaming,Intel Core i7,8,1.0TB Hybrid,Nvidia GeForce,Windows 10,2.62,7198040,141.0,0,0,0,0,10,0
152,Lenovo,Notebook,Intel Core i5,4,128GB SSD,Intel HD,Windows 10,1.9,3987318,141.0,0,0,0,0,0,0
153,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,15132589,127.0,0,0,1,0,0,0
154,HP,Ultrabook,Intel Core i5,4,256GB SSD,Intel HD,Windows 10,1.48,8663185,157.0,0,0,0,0,0,0
155,HP,Notebook,Intel Core i5,6,256GB SSD,AMD Radeon,Windows 10,1.91,4956118,141.0,0,0,0,0,0,0
156,Lenovo,2 in 1 Convertible,Intel Core i3,4,256GB SSD,Intel HD,Windows 10,1.74,5036203,157.0,1,1,0,0,0,0
157,Asus,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.1,10528754,166.0,0,1,0,0,0,0
158,Dell,2 in 1 Convertible,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.56,8399040,141.0,0,1,0,0,0,0
159,Toshiba,Notebook,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,2.1,3579021,141.0,0,0,500,0,0,0
160,Asus,Notebook,AMD A-Series,4,1TB HDD,AMD Radeon,Windows 10,2.03,3226649,141.0,0,0,1,0,0,0
161,Acer,Notebook,Intel Core i5,4,256GB SSD,Nvidia GeForce,Windows 10,3.0,6445334,127.0,1,0,0,0,0,0
162,Dell,Notebook,Intel Core i5,8,256GB SSD,AMD Radeon,Windows 10,2.13,5828817,141.0,0,0,0,0,0,0
163,Lenovo,Gaming,Intel Core i7,16,256GB SSD,Nvidia GeForce,Windows 10,2.5,8639205,141.0,1,0,0,0,0,0
164,Acer,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,Windows 10,2.1,2786318,141.0,0,0,1,0,0,0
165,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.4,14404043,141.0,1,0,1,0,0,0
166,Acer,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,Windows 10,2.1,2910516,141.0,0,0,1,0,0,0
167,Dell,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.56,8491026,141.0,0,0,1,0,0,0
168,Acer,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,3.0,6837704,127.0,1,0,0,0,0,0
169,HP,Notebook,Intel Core i5,4,500GB HDD,Intel UHD,Windows 10,1.49,6037037,166.0,1,0,500,0,0,0
171,HP,Notebook,Intel Core i5,6,2TB HDD,AMD Radeon,Windows 10,2.71,5596706,127.0,1,0,2,0,0,0
172,Lenovo,Notebook,AMD A-Series,4,500GB HDD,AMD Radeon,No OS,2.2,2474033,141.0,0,0,500,0,0,0
173,Toshiba,Notebook,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,2.0,3915287,141.0,0,0,500,0,0,0
174,HP,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,7390153,127.0,0,0,0,0,0,0
175,Dell,Notebook,Intel Core i3,8,1TB HDD,Intel HD,Windows 10,2.3,3675033,141.0,0,0,1,0,0,0
176,Acer,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,2.1,3595038,141.0,0,0,0,0,0,0
178,Lenovo,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,AMD R17M-M1-70,Windows 10,1.9,6509402,141.0,0,0,1,0,0,0
179,HP,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.29,12002042,166.0,1,1,0,0,0,0
180,Dell,Notebook,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Linux,2.02,8399040,141.0,0,0,2,0,0,0
181,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.23,11201375,166.0,0,0,0,0,0,0
183,Toshiba,Notebook,Intel Core i5,8,128GB SSD,Intel HD,Windows 10,2.0,6349322,141.0,0,0,0,0,0,0
185,Dell,Notebook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.77,12402375,127.0,0,1,0,0,0,0
186,Dell,Notebook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.06,19192028,141.0,0,1,0,0,0,0
187,Lenovo,Gaming,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,2.4,6237203,141.0,1,0,0,0,0,0
188,Acer,Ultrabook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.12,7918622,166.0,1,0,0,0,0,0
189,Dell,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.8,8687255,127.0,0,0,1,0,0,0
190,Lenovo,2 in 1 Convertible,Intel Core i7,16,1TB SSD,Intel HD,Windows 10,1.42,22610880,157.0,0,1,0,0,0,0
193,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,2.8,5588652,127.0,0,0,0,0,0,0
194,Dell,2 in 1 Convertible,Intel Core i7,8,1TB HDD,Intel UHD,Windows 10,1.62,6717622,166.0,1,1,1,0,0,0
195,HP,Notebook,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows 10,2.5,7318122,127.0,1,0,1,0,0,0
197,HP,Notebook,Intel Core i5,8,512GB SSD,Intel UHD,Windows 10,1.49,7678368,166.0,0,0,0,0,0,0
198,HP,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.35,11041206,127.0,1,0,1,0,0,0
199,HP,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,8367006,127.0,0,0,0,0,0,0
200,Dell,Gaming,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.65,14772343,141.0,1,0,1,0,0,0
201,Lenovo,Notebook,Intel Core i5,4,128GB SSD,Intel HD,Windows 10,2.1,3947321,141.0,0,0,0,0,0,0
202,Acer,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.23,5940935,141.0,0,0,1,0,0,0
203,Lenovo,Gaming,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.2,14003709,141.0,1,0,1,0,0,0
204,Dell,Workstation,Other Intel Processor,16,256GB SSD +  1TB HDD,Nvidia Quadro,Windows 10,2.8,24460342,141.0,0,0,1,0,0,0
205,Lenovo,Gaming,Intel Core i7,16,512GB SSD,Nvidia GeForce,No OS,2.4,11193322,141.0,0,0,0,0,0,0
206,Dell,Notebook,Intel Core i3,6,1TB HDD,Intel HD,Windows 10,2.3,3514953,141.0,0,1,1,0,0,0
